Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n5000-mu3,1,Leiden-LPA-v4,0.1218,0.5333,0.8126
lfr-n5000-mu3,1,Leiden,0.2339,0.5667,0.948
lfr-n5000-mu3,2,Leiden-LPA-v4,0.1103,0.5373,0.825
lfr-n5000-mu3,2,Leiden,0.2432,0.5667,0.9528
lfr-n5000-mu3,3,Leiden-LPA-v4,0.112,0.5359,0.8125
lfr-n5000-mu3,3,Leiden,0.2513,0.5662,0.9468
lfr-n5000-mu3,4,Leiden-LPA-v4,0.1107,0.5332,0.803
lfr-n5000-mu3,4,Leiden,0.2431,0.5667,0.9482
lfr-n5000-mu3,5,Leiden-LPA-v4,0.1186,0.5339,0.8059
lfr-n5000-mu3,5,Leiden,0.2476,0.5667,0.948
lfr-n5000-mu3,6,Leiden-LPA-v4,0.1089,0.5336,0.8183
lfr-n5000-mu3,6,Leiden,0.2481,0.5641,0.9413
lfr-n5000-mu3,7,Leiden-LPA-v4,0.1093,0.5311,0.7961
lfr-n5000-mu3,7,Leiden,0.2417,0.5668,0.948
lfr-n5000-mu3,8,Leiden-LPA-v4,0.1708,0.5368,0.8146
lfr-n5000-mu3,8,Leiden,0.2373,0.5667,0.9487
lfr-n5000-mu3,9,Leiden-LPA-v4,0.1234,0.5353,0.8162
lfr-n5000-mu3,9,Leiden,0.246,0.566,0.948
lfr-n5000-mu5,0,Leiden-LPA-v4,0.1552,0.2857,0.2595
lfr-n5000-mu5,0,Leiden,0.315,0.3267,0.3334
lfr-n5000-mu5,1,Leiden-LPA-v4,0.165,0.2917,0.286
lfr-n5000-mu5,1,Leiden,0.3065,0.3253,0.3244
lfr-n5000-mu5,2,Leiden-LPA-v4,0.126,0.3048,0.281
lfr-n5000-mu5,2,Leiden,0.3126,0.3309,0.3274
lfr-n5000-mu5,3,Leiden-LPA-v4,0.1452,0.299,0.2619
lfr-n5000-mu5,3,Leiden,0.3064,0.326,0.3161
lfr-n5000-mu5,4,Leiden-LPA-v4,0.1454,0.2979,0.2597
lfr-n5000-mu5,4,Leiden,0.3095,0.3312,0.3819
lfr-n5000-mu5,5,Leiden-LPA-v4,0.146,0.2907,0.2447
lfr-n5000-mu5,5,Leiden,0.3169,0.3282,0.3351
lfr-n5000-mu5,6,Leiden-LPA-v4,0.1444,0.3027,0.2993
lfr-n5000-mu5,6,Leiden,0.3237,0.3282,0.3323
lfr-n5000-mu5,7,Leiden-LPA-v4,0.1269,0.3055,0.2745
lfr-n5000-mu5,7,Leiden,0.3227,0.3293,0.3328
lfr-n5000-mu5,8,Leiden-LPA-v4,0.1348,0.3005,0.2694
lfr-n5000-mu5,8,Leiden,0.3382,0.3203,0.2946
lfr-n5000-mu5,9,Leiden-LPA-v4,0.1403,0.3043,0.283
lfr-n5000-mu5,9,Leiden,0.3037,0.3309,0.342
